x, 0, 0, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f85b, b8, e4, 80, 00, 00, ff, e4, f85b, e9, 7f, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f85c, 70, 67, 00, 00, 00, ff, 67, f85c, b8, 7f, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f85d, fe, 5d, 00, 00, 00, ff, 27, f85d, 70, 7f, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f85e, d0, 27, 00, 00, 00, ff, 27, f85e, 70, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f85f, fe, 5f, 00, 00, 00, ff, 27, f85f, d0, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f860, 18, 27, 00, 00, 00, ff, 27, f860, d0, fe, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f861, b0, 27, 00, 00, 00, ff, 27, f861, 18, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f862, fe, 62, 00, 00, 00, ff, 26, f862, b0, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f863, 80, 26, 00, 00, 00, ff, 26, f863, b0, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f864, 02, 64, 00, 00, 00, ff, 26, f864, 80, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f867, ea, 26, 00, 00, 00, ff, 26, f867, 80, 02, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f868, 58, 26, 00, 00, 00, ff, 26, f868, ea, 02, f8
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 3, 1, f869, 08, 26, 00, 00, 00, ff, 26, f869, 58, 02, f8
0, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 1, 1, 01ff, f8, 32, 00, 00, 00, ff, 32, f86a, 08, 02, f8
0, 0, 0, fffc, 1, 0, 4, 0, 0, 1, 3, 1, f86a, 68, 32, 00, 00, 00, fe, 32, f86a, 08, 02, f8
0, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 2, 1, 01ff, 32, 6b, 00, 00, 00, fe, 22, f86b, 68, 02, f8
0, 0, 0, fffc, 1, 0, 4, 0, 0, 1, 3, 1, f86b, 29, 22, 00, 00, 00, ff, 22, f86b, 68, 32, f8
0, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f86c, 04, 6c, 32, 00, 00, ff, 20, f86c, 29, 32, f8
